real,imag
1,0
0.992421,0.122886
0.969564,0.24484
0.931431,0.363917
0.87828,0.478147
0.810626,0.585565
0.729252,0.684245
0.635208,0.772341
0.529804,0.84812
0.414598,0.910005
0.291385,0.956606
0.16217,0.986763
0.0291415,0.999575
-0.105361,0.994434
-0.238886,0.971048
-0.368912,0.929464
-0.492898,0.870087
-0.60833,0.793684
-0.712778,0.701389
-0.803949,0.594698
-0.879743,0.47545
-0.938304,0.345811
-0.978078,0.208237
-0.997857,0.065435
-0.99682,-0.0796824
-0.974576,-0.224056
-0.931187,-0.364542
-0.86719,-0.497978
-0.783605,-0.62126
-0.681934,-0.731413
-0.56415,-0.825673
-0.432662,-0.901556
-0.290285,-0.95694
-0.140184,-0.990126
0.0141888,-0.999899
0.169167,-0.985587
0.320955,-0.947094
0.465722,-0.884931
0.599696,-0.800228
0.71927,-0.69473
0.821103,-0.570781
0.902219,-0.431278
0.960109,-0.279624
0.992816,-0.119651
0.999011,0.0444708
0.978058,0.208331
0.930064,0.367397
0.8559,0.517142
0.757209,0.653173
0.636392,0.771366
0.496564,0.868
0.34149,0.939886
0.175494,0.98448
0.00335558,0.999994
-0.169828,0.985474
-0.338785,0.940864
-0.498228,0.867046
-0.643024,0.765846
-0.768368,0.640009
-0.869945,0.493148
-0.9441,0.329658
-0.987978,0.154597
-0.99965,-0.0264581
-0.978218,-0.20758
-0.92388,-0.382683
-0.837963,-0.545727
-0.722924,-0.690928
-0.582296,-0.812977
-0.420609,-0.907242
-0.243259,-0.969961
-0.0563439,-0.998411
0.133536,-0.991044
0.319502,-0.947586
0.494649,-0.869093
0.652301,-0.75796
0.786278,-0.617873
0.891146,-0.453717
0.96246,-0.271422
0.996971,-0.0777709
0.992793,0.119841
0.949528,0.313682
0.868333,0.495982
0.751924,0.65925
0.604519,0.796591
0.431711,0.902012
0.240282,0.970703
0.0379569,0.999279
-0.166899,0.985974
-0.365613,0.930767
-0.549577,0.835443
-0.710623,0.703573
-0.8414,0.540413
-0.935726,0.352729
-0.988908,0.148532
-0.997999,-0.0632345
-0.961991,-0.273083
-0.881921,-0.471397
-0.760891,-0.648879
